id_producto,nombre,id_categoria,id_familia
400,Nutella,7,null
401,Dulccina,7,null
402,Cheescake DL/ Oreo,7,null
500,Clasica,3,null
501,Tango,3,null
502,Corazon,3,null
503,Carita,3,null
504,Pata,3,null
505,Torta,3,null
506,Chancho,3,null
507,Cristal,3,null
508,chocolatin,3,null
509,Vaca Aurora,3,null
510,Dona Banana Split,3,null
511,Dona flan,3,null
512,Hello Kitty,3,null
513,Dubai,3,null
600,Brownie,6,null
601,Cabsha,6,null
602,Higo,6,null
603,Imperial Tarta,6,null
604,Lemon Pie Tarta,6,null
605,Maracuya Tarta,6,null
606,Mousse,6,null
607,Rocher,6,null
608,Cheescake Tarta,6,null
702,ALMENDRADO,1,3
703,AMERICANA,1,3
705,ANANA,1,5
706,ARANDANO Y CASSIS,1,3
707,BANANA SPLIT,1,3
708,BISCUIT,1,3
710,BOMBON ROCHER,1,1
711,CREMA DE CAFE,1,3
712,CAYOTE CON NUEZ,1,3
713,CEREZA,1,3
715,BANANINA,1,3
716,COCOLECHE,1,3
717,CHOCOTORTA,1,2
718,KINDOVO,1,1
719,CREMA DE HIGO CON NUEZ,1,3
720,CREMA DEL CIELO,1,3
721,CREMA DON PEDRO,1,4
722,CREMA RUSA,1,3
723,CHOCOLATE,1,1
724,CHOCOLATE A LA CUBANA,1,1
725,CHOCOLATE AMARGO,1,1
726,CHOCOLATE BLANCO,1,1
727,CHOCOLATE CON ALMENDRAS,1,1
728,CHOCOLATE CON CEREZAS,1,1
729,MARROC,1,1
730,CHOCOLATE SUIZO,1,1
732,DELICIA TELLO,1,3
733,DIET AMERICANA,4,null
734,DIET ANANA,4,null
735,DIET BANANA,4,null
736,DIET DULCE DE LECHE,4,null
737,DIET DURAZNO,4,null
738,DIET VAINILLA,4,null
739,DOLCCINO,1,2
740,DULCE DE LECHE,1,2
741,DULCE DE LECHE BOMBON,1,2
742,DULCE DE LECHE CON NUEZ,1,2
743,DULCE DE LECHE GRANIZADO,1,2
744,DULCE DE LECHE TENTACION,1,2
746,DURAZNO AL AGUA,1,5
748,CREMA FLAN,1,4
749,FRUTILLA A LA CREMA,1,3
750,FRUTILLA AL AGUA,1,5
752,FRUTOS DEL BOSQUE,1,3
753,GRANIZADO,1,3
754,KINOTOS AL WHISKY,1,4
755,LIMON,1,5
757,MANGO,1,5
758,MANTECOL,1,3
759,MANZANAS AL OPORTO,1,3
761,MENTA GRANIZADA,1,3
762,PANACOTTA,1,3
763,SAMBAYON,1,3
764,TIRAMISU,1,3
766,TORTA BROWNIE,1,3
768,VAINILLA,1,4
770,VAINILLA GRANIZADA,1,4
772,LEMON PIE,1,3
773,MARACUYA,1,3
775,PISTACHO,1,3
776,YOGUR GRIEGO,1,3
782,CHOCOLATE DUBAI,1,1
800,OMELETTE,2,null
801,CLASICA AM/CHOC,2,null
802,CLASICA VAI/ DL,2,null
803,BOMBON,2,null
804,PRIMAVERA,2,null
805,DEL AMERICANA,2,null
806,DEL DULCE D LECHE,2,null
807,VERONA,2,null
808,CHOCOOREO,2,null
900,Bomba,5,null
901,Chaja,5,null
902,Imperial,5,null
903,Maria Luisa,5,null
904,Selva Negra,5,null
905,Tropical,5,null
