id_producto,nombre,familia,categoria
723,CHOCOLATE,chocolate, helado
724,CHOCOLATE A LA CUBANA,chocolate, helado
725,CHOCOLATE AMARGO,chocolate, helado
726,CHOCOLATE BLANCO,chocolate, helado
728,CHOCOLATE CON CEREZAS,chocolate, helado
782,CHOCOLATE DUBAI,chocolate, helado
730,CHOCOLATE SUIZO,chocolate, helado
702,ALMENDRADO,crema blanca, helado
703,AMERICANA,crema blanca, helado
707,BANANA SPLIT,crema blanca, helado
715,BANANINA,crema blanca, helado
708,BISCUIT,crema blanca, helado
710,BOMBON ROCHER,chocolate, helado
711,CREMA DE CAFE,crema blanca, helado
716,COCOLECHE,crema blanca, helado
719,CREMA DE HIGO CON NUEZ,crema blanca, helado
721,CREMA DON PEDRO,crema vainilla, helado
722,CREMA RUSA,crema blanca, helado 
732,DELICIA TELLO,crema blanca, helado
739,DOLCCINO,dulce de leche, helado
748,CREMA FLAN,crema vainilla, helado
753,GRANIZADO,crema blanca, helado
718,KINDOVO,chocolate, helado
754,KINOTOS AL WHISKY,crema vainilla, helado
772,LEMON PIE,crema blanca, helado
758,MANTECOL,crema blanca, helado
759,MANZANAS AL OPORTO,crema blanca, helado
729,MARROC,chocolate, helado
761,MENTA GRANIZADA,crema blanca, helado
773,MARACUYA,crema blanca, helado
762,PANACOTTA,crema blanca, helado
775,PISTACHO,crema blanca, helado
763,SAMBAYON,crema blanca, helado
764,TIRAMISU,crema blanca, helado
768,VAINILLA,crema vainilla, helado
770,VAINILLA GRANIZADA,crema vainilla, helado
776,YOGUR GRIEGO,crema blanca, helado
733,DIET AMERICANA,, diet
734,DIET ANANA,, diet
735,DIET BANANA,, diet
736,DIET DULCE DE LECHE,, diet
737,DIET DURAZNO,, diet
738,DIET VAINILLA,, diet
740,DULCE DE LECHE,dulce de leche, helado
741,DULCE DE LECHE BOMBON,dulce de leche, helado
742,DULCE DE LECHE CON NUEZ,dulce de leche, helado
743,DULCE DE LECHE GRANIZADO,dulce de leche, helado
744,DULCE DE LECHE TENTACION,dulce de leche, helado
705,ANANA,frutas, helado
706,ARANDANO Y CASSIS,crema blanca, helado
712,CAYOTE CON NUEZ,crema blanca, helado
713,CEREZA,crema blanca, helado
727,CHOCOLATE CON ALMENDRAS,chocolate, helado
720,CREMA DEL CIELO,crema blanca, helado
746,DURAZNO AL AGUA,frutas, helado
749,FRUTILLA A LA CREMA,crema blanca, helado
750,FRUTILLA AL AGUA,frutas, helado
752,FRUTOS DEL BOSQUE,crema blanca, helado
755,LIMON,frutas, helado
757,MANGO,frutas, helado
717,CHOCOTORTA,dulce de leche, helado
766,TORTA BROWNIE,crema blanca, helado
800, OMELETTE, , Tortas Heladas
801, CLASICA AM/CHOC, , Tortas Heladas
802, CLASICA VAI/ DL, , Tortas Heladas
803, BOMBON , , Tortas Heladas
804, PRIMAVERA, , Tortas Heladas
805, DEL AMERICANA, , Tortas Heladas
806, DEL DULCE D LECHE, , Tortas Heladas
807, VERONA, , Tortas Heladas
808, CHOCOOREO, , Tortas Heladas
900, Bomba, , Tortas
901, Chaja, , Tortas
902, Imperial, , Tortas
903, Maria Luisa, , Tortas
904, Selva Negra, , Tortas
905, Tropical, , Tortas
600, Brownie, , Tartas
601, Cabsha, , Tartas
602, Higo, , Tartas
603, Imperial Tarta, , Tartas
604, Lemon Pie Tarta, , Tartas
605, Maracuya Tarta, , Tartas
606, Mousse, , Tartas
607, Rocher, , Tartas
608, Cheescake Tarta, , Tartas
500, Clasica, , Paletas
501, Tango, , Paletas
502, Corazon, , Paletas
503, Carita, , Paletas
504, Pata, , Paletas
505, Torta, , Paletas
506, Chancho, , Paletas
507, Cristal, , Paletas
508, chocolatin, , Paletas
509, Vaca Aurora, , Paletas
510, Dona Banana Split, , Paletas
511, Dona flan, , Paletas
512, Hello Kitty, , Paletas
513, Dubai, , Paletas
400, Nutella, , Minitortas
401, Dulccina, , Minitortas
402, Cheescake DL/ Oreo, , Minitortas
