sucursal,fecha_emision,dni_empleado,dni_admin,producto,categoria,familia,cantidad
catam1,,,,DIET AMERICANA,diet,,0
catam1,,,,DIET ANANA,diet,,0
catam1,,,,DIET BANANA,diet,,0
catam1,,,,DIET DULCE DE LECHE,diet,,0
catam1,,,,DIET DURAZNO,diet,,0
catam1,,,,DIET VAINILLA,diet,,0
catam1,,,,BOMBON ROCHER,helado,chocolate,0
catam1,,,,CHOCOLATE,helado,chocolate,0
catam1,,,,CHOCOLATE A LA CUBANA,helado,chocolate,0
catam1,,,,CHOCOLATE AMARGO,helado,chocolate,0
catam1,,,,CHOCOLATE BLANCO,helado,chocolate,0
catam1,,,,CHOCOLATE CON ALMENDRAS,helado,chocolate,0
catam1,,,,CHOCOLATE CON CEREZAS,helado,chocolate,0
catam1,,,,CHOCOLATE DUBAI,helado,chocolate,0
catam1,,,,CHOCOLATE SUIZO,helado,chocolate,0
catam1,,,,KINDOVO,helado,chocolate,0
catam1,,,,MARROC,helado,chocolate,0
catam1,,,,ALMENDRADO,helado,crema blanca,0
catam1,,,,AMERICANA,helado,crema blanca,0
catam1,,,,ARANDANO Y CASSIS,helado,crema blanca,0
catam1,,,,BANANA SPLIT,helado,crema blanca,0
catam1,,,,BANANINA,helado,crema blanca,0
catam1,,,,BISCUIT,helado,crema blanca,0
catam1,,,,CAYOTE CON NUEZ,helado,crema blanca,0
catam1,,,,CEREZA,helado,crema blanca,0
catam1,,,,COCOLECHE,helado,crema blanca,0
catam1,,,,CREMA DE CAFE,helado,crema blanca,0
catam1,,,,CREMA DE HIGO CON NUEZ,helado,crema blanca,0
catam1,,,,CREMA DEL CIELO,helado,crema blanca,0
catam1,,,,CREMA RUSA,helado,crema blanca,0
catam1,,,,DELICIA TELLO,helado,crema blanca,0
catam1,,,,FRUTILLA A LA CREMA,helado,crema blanca,0
catam1,,,,FRUTOS DEL BOSQUE,helado,crema blanca,0
catam1,,,,GRANIZADO,helado,crema blanca,0
catam1,,,,LEMON PIE,helado,crema blanca,0
catam1,,,,MANTECOL,helado,crema blanca,0
catam1,,,,MANZANAS AL OPORTO,helado,crema blanca,0
catam1,,,,MARACUYA,helado,crema blanca,0
catam1,,,,MENTA GRANIZADA,helado,crema blanca,0
catam1,,,,PANACOTTA,helado,crema blanca,0
catam1,,,,PISTACHO,helado,crema blanca,0
catam1,,,,SAMBAYON,helado,crema blanca,0
catam1,,,,TIRAMISU,helado,crema blanca,0
catam1,,,,TORTA BROWNIE,helado,crema blanca,0
catam1,,,,YOGUR GRIEGO,helado,crema blanca,0
catam1,,,,CREMA DON PEDRO,helado,crema vainilla,0
catam1,,,,CREMA FLAN,helado,crema vainilla,0
catam1,,,,KINOTOS AL WHISKY,helado,crema vainilla,0
catam1,,,,VAINILLA,helado,crema vainilla,0
catam1,,,,VAINILLA GRANIZADA,helado,crema vainilla,0
