producto_id,producto,familia,categoria,pozo,salon,mandar
10,Azucar,,agregados,0.0,0.0,0.25
22,Bombones p/cafe,,agregados,0.0,0.0,100.0
13,Cerezas (lata),,agregados,1.0,0.0,0.0
14,Chispas de chocolate,,agregados,0.0,0.0,1.0
23,Chocolate p/submarino,,agregados,3.0,0.0,2.0
15,Kinotos (lata),,agregados,1.0,0.0,0.0
16,Lajas,,agregados,0.0,0.0,0.0
21,Leche descremada,,agregados,7.0,0.0,3.0
12,Logo Tello,,agregados,0.0,0.0,0.0
17,Merenguitos,,agregados,2.0,0.0,1.0
18,Nueces,,agregados,0.0,0.0,1.0
20,Pañuelos p/copas,,agregados,0.0,1.0,0.0
19,Rocklets,,agregados,0.0,0.0,1.0
52,Bolsa camiseta,,bolsas,1.0,0.0,0.0
50,Bolsa consorcio,,bolsas,4.0,0.0,1.0
53,Bolsa p/conito,,bolsas,4.0,0.0,0.0
51,Bolsa residuos,,bolsas,3.0,0.0,2.0
280,Almendra baña x100,,chocolates,13.0,7.0,0.0
281,Almendra baña x150,,chocolates,17.0,3.0,0.0
282,Almendra confitada x100,,chocolates,0.0,0.0,0.0
283,Almendra confitada x250,,chocolates,0.0,0.0,0.0
251,Coco,,cuadrados,0.0,3.0,4.0
250,Cuadradito Brownie,,cuadrados,0.0,0.0,7.0
252,Pastafrola,,cuadrados,0.0,5.0,2.0
733,DIET AMERICANA,,diet,1.0,,0.0
734,DIET ANANA,,diet,2.0,,0.0
735,DIET BANANA,,diet,2.0,,0.0
736,DIET DULCE DE LECHE,,diet,1.0,,0.0
737,DIET DURAZNO,,diet,1.0,,0.0
738,DIET VAINILLA,,diet,5.0,,0.0
710,BOMBON ROCHER,chocolate,helado,1.0,1.5,0.0
723,CHOCOLATE,chocolate,helado,0.0,1.25,1.0
724,CHOCOLATE A LA CUBANA,chocolate,helado,0.0,2.0,0.0
725,CHOCOLATE AMARGO,chocolate,helado,0.0,-0.5,0.5
726,CHOCOLATE BLANCO,chocolate,helado,0.0,2.0,0.0
727,CHOCOLATE CON ALMENDRAS,chocolate,helado,0.0,1.25,1.0
728,CHOCOLATE CON CEREZAS,chocolate,helado,0.0,-0.25,0.25
782,CHOCOLATE DUBAI,chocolate,helado,2.0,1.0,0.0
730,CHOCOLATE SUIZO,chocolate,helado,1.0,1.0,0.0
718,KINDOVO,chocolate,helado,0.0,1.0,0.0
729,MARROC,chocolate,helado,0.0,-0.25,0.25
702,ALMENDRADO,crema blanca,helado,0.0,-0.25,0.25
703,AMERICANA,crema blanca,helado,0.0,1.25,1.0
706,ARANDANO Y CASSIS,crema blanca,helado,0.0,1.25,1.0
707,BANANA SPLIT,crema blanca,helado,1.0,0.5,0.0
715,BANANINA,crema blanca,helado,0.0,-0.25,0.25
708,BISCUIT,crema blanca,helado,1.0,1.0,0.0
712,CAYOTE CON NUEZ,crema blanca,helado,0.0,-0.25,0.25
713,CEREZA,crema blanca,helado,0.0,0.25,2.0
716,COCOLECHE,crema blanca,helado,0.0,-0.25,0.25
711,CREMA DE CAFE,crema blanca,helado,0.0,1.0,0.0
719,CREMA DE HIGO CON NUEZ,crema blanca,helado,0.0,-0.25,0.25
720,CREMA DEL CIELO,crema blanca,helado,0.0,2.0,0.0
722,CREMA RUSA,crema blanca,helado,0.0,2.0,0.0
732,DELICIA TELLO,crema blanca,helado,1.0,1.0,0.0
749,FRUTILLA A LA CREMA,crema blanca,helado,0.0,1.25,1.0
752,FRUTOS DEL BOSQUE,crema blanca,helado,0.0,1.5,0.0
753,GRANIZADO,crema blanca,helado,0.0,1.5,0.0
772,LEMON PIE,crema blanca,helado,0.0,-0.5,0.5
758,MANTECOL,crema blanca,helado,0.0,-0.5,0.5
759,MANZANAS AL OPORTO,crema blanca,helado,0.0,2.0,0.0
773,MARACUYA,crema blanca,helado,0.0,1.0,0.0
761,MENTA GRANIZADA,crema blanca,helado,0.0,1.0,0.0
762,PANACOTTA,crema blanca,helado,0.0,1.5,0.0
775,PISTACHO,crema blanca,helado,1.0,-0.25,0.0
763,SAMBAYON,crema blanca,helado,0.0,1.0,0.0
764,TIRAMISU,crema blanca,helado,0.0,2.0,0.0
766,TORTA BROWNIE,crema blanca,helado,0.0,2.0,0.0
776,YOGUR GRIEGO,crema blanca,helado,0.0,2.0,0.0
721,CREMA DON PEDRO,crema vainilla,helado,0.0,2.0,0.0
748,CREMA FLAN,crema vainilla,helado,0.0,2.0,0.0
754,KINOTOS AL WHISKY,crema vainilla,helado,0.0,2.0,0.0
768,VAINILLA,crema vainilla,helado,0.0,1.5,0.0
770,VAINILLA GRANIZADA,crema vainilla,helado,0.0,2.0,0.0
717,CHOCOTORTA,dulce de leche,helado,0.0,-0.5,0.5
739,DOLCCINO,dulce de leche,helado,0.0,1.0,1.0
740,DULCE DE LECHE,dulce de leche,helado,0.0,1.75,0.0
741,DULCE DE LECHE BOMBON,dulce de leche,helado,0.0,1.0,1.0
742,DULCE DE LECHE CON NUEZ,dulce de leche,helado,0.0,1.25,1.0
743,DULCE DE LECHE GRANIZADO,dulce de leche,helado,1.0,1.75,0.0
744,DULCE DE LECHE TENTACION,dulce de leche,helado,0.0,1.25,0.0
705,ANANA,frutas,helado,0.0,0.0,0.5
746,DURAZNO AL AGUA,frutas,helado,0.0,1.0,0.0
750,FRUTILLA AL AGUA,frutas,helado,0.0,1.0,0.0
755,LIMON,frutas,helado,0.0,1.75,0.0
757,MANGO,frutas,helado,0.0,2.0,0.0
86,Bandeja chica,,insumos,2.0,0.0,0.0
87,Bandeja grande,,insumos,2.0,0.0,0.0
83,Blondas,,insumos,40.0,60.0,0.0
