producto_id,producto,familia,categoria,pozo,salon,mandar,fecha
733,DIET AMERICANA,,diet,0.0,,0.0,08/09/2025
734,DIET ANANA,,diet,0.0,,0.0,08/09/2025
735,DIET BANANA,,diet,0.0,,0.0,08/09/2025
736,DIET DULCE DE LECHE,,diet,0.0,,0.0,08/09/2025
737,DIET DURAZNO,,diet,0.0,,0.0,08/09/2025
738,DIET VAINILLA,,diet,0.0,,0.0,08/09/2025
710,BOMBON ROCHER,chocolate,helado,1.0,0.5,1.0,08/09/2025
723,CHOCOLATE,chocolate,helado,3.0,1.5,0.0,08/09/2025
724,CHOCOLATE A LA CUBANA,chocolate,helado,0.0,0.5,0.0,08/09/2025
725,CHOCOLATE AMARGO,chocolate,helado,0.0,0.5,0.5,08/09/2025
726,CHOCOLATE BLANCO,chocolate,helado,0.0,0.5,0.0,08/09/2025
727,CHOCOLATE CON ALMENDRAS,chocolate,helado,0.0,1.0,1.0,08/09/2025
728,CHOCOLATE CON CEREZAS,chocolate,helado,0.0,0.25,0.25,08/09/2025
782,CHOCOLATE DUBAI,chocolate,helado,0.0,0.25,0.5,08/09/2025
730,CHOCOLATE SUIZO,chocolate,helado,1.0,1.0,0.0,08/09/2025
718,KINDOVO,chocolate,helado,0.0,0.5,0.0,08/09/2025
729,MARROC,chocolate,helado,0.0,0.25,0.0,08/09/2025
702,ALMENDRADO,crema blanca,helado,0.0,0.25,0.0,08/09/2025
703,AMERICANA,crema blanca,helado,0.0,1.25,1.0,08/09/2025
706,ARANDANO Y CASSIS,crema blanca,helado,1.0,1.25,0.0,08/09/2025
707,BANANA SPLIT,crema blanca,helado,0.0,1.0,1.0,08/09/2025
715,BANANINA,crema blanca,helado,0.0,0.25,0.0,08/09/2025
708,BISCUIT,crema blanca,helado,0.0,1.5,0.0,08/09/2025
712,CAYOTE CON NUEZ,crema blanca,helado,0.0,0.25,0.0,08/09/2025
713,CEREZA,crema blanca,helado,1.0,0.5,1.0,08/09/2025
716,COCOLECHE,crema blanca,helado,0.0,0.25,0.0,08/09/2025
711,CREMA DE CAFE,crema blanca,helado,0.0,0.25,0.0,08/09/2025
719,CREMA DE HIGO CON NUEZ,crema blanca,helado,0.0,0.25,0.0,08/09/2025
720,CREMA DEL CIELO,crema blanca,helado,0.0,0.25,0.0,08/09/2025
722,CREMA RUSA,crema blanca,helado,0.0,0.25,0.0,08/09/2025
732,DELICIA TELLO,crema blanca,helado,0.0,1.5,1.0,08/09/2025
749,FRUTILLA A LA CREMA,crema blanca,helado,1.0,0.5,1.0,08/09/2025
752,FRUTOS DEL BOSQUE,crema blanca,helado,0.0,1.5,0.0,08/09/2025
753,GRANIZADO,crema blanca,helado,0.0,1.5,0.0,08/09/2025
772,LEMON PIE,crema blanca,helado,0.0,0.0,0.5,08/09/2025
758,MANTECOL,crema blanca,helado,0.0,0.75,0.0,08/09/2025
759,MANZANAS AL OPORTO,crema blanca,helado,0.0,0.25,0.0,08/09/2025
773,MARACUYA,crema blanca,helado,0.0,0.5,0.0,08/09/2025
761,MENTA GRANIZADA,crema blanca,helado,0.0,0.25,0.0,08/09/2025
762,PANACOTTA,crema blanca,helado,0.0,1.25,1.0,08/09/2025
775,PISTACHO,crema blanca,helado,0.0,0.0,0.0,08/09/2025
763,SAMBAYON,crema blanca,helado,0.0,0.5,1.0,08/09/2025
