producto_id,producto,familia,categoria,pozo,salon,mandar
733,DIET AMERICANA,,diet,0.0,,0.0
734,DIET ANANA,,diet,0.0,,0.0
735,DIET BANANA,,diet,0.0,,0.0
736,DIET DULCE DE LECHE,,diet,0.0,,0.0
737,DIET DURAZNO,,diet,0.0,,0.0
738,DIET VAINILLA,,diet,0.0,,0.0
710,BOMBON ROCHER,chocolate,helado,0.0,1.25,1.0
723,CHOCOLATE,chocolate,helado,1.0,0.5,3.0
724,CHOCOLATE A LA CUBANA,chocolate,helado,0.0,0.25,0.25
725,CHOCOLATE AMARGO,chocolate,helado,0.0,0.25,0.5
726,CHOCOLATE BLANCO,chocolate,helado,0.0,0.25,0.5
727,CHOCOLATE CON ALMENDRAS,chocolate,helado,0.0,1.5,1.0
728,CHOCOLATE CON CEREZAS,chocolate,helado,0.0,-0.25,0.25
782,CHOCOLATE DUBAI,chocolate,helado,0.0,0.0,0.0
730,CHOCOLATE SUIZO,chocolate,helado,0.0,1.25,1.0
718,KINDOVO,chocolate,helado,0.0,0.5,0.0
729,MARROC,chocolate,helado,0.0,0.25,0.25
702,ALMENDRADO,crema blanca,helado,0.0,0.0,0.25
703,AMERICANA,crema blanca,helado,0.0,0.5,1.0
706,ARANDANO Y CASSIS,crema blanca,helado,0.0,1.0,1.0
707,BANANA SPLIT,crema blanca,helado,0.0,0.5,1.0
715,BANANINA,crema blanca,helado,0.0,0.0,0.25
708,BISCUIT,crema blanca,helado,0.0,2.0,0.0
712,CAYOTE CON NUEZ,crema blanca,helado,0.0,-0.25,0.25
713,CEREZA,crema blanca,helado,0.0,1.0,1.0
716,COCOLECHE,crema blanca,helado,0.0,0.25,0.25
711,CREMA DE CAFE,crema blanca,helado,0.0,0.25,0.0
719,CREMA DE HIGO CON NUEZ,crema blanca,helado,0.0,0.0,0.25
720,CREMA DEL CIELO,crema blanca,helado,0.0,0.0,0.25
722,CREMA RUSA,crema blanca,helado,0.0,0.0,0.25
732,DELICIA TELLO,crema blanca,helado,0.0,1.25,1.0
749,FRUTILLA A LA CREMA,crema blanca,helado,0.0,1.0,1.0
752,FRUTOS DEL BOSQUE,crema blanca,helado,0.0,1.5,0.0
753,GRANIZADO,crema blanca,helado,0.0,1.25,1.0
772,LEMON PIE,crema blanca,helado,0.0,0.0,0.5
758,MANTECOL,crema blanca,helado,0.0,0.5,0.0
759,MANZANAS AL OPORTO,crema blanca,helado,0.0,0.0,0.25
773,MARACUYA,crema blanca,helado,0.0,0.5,0.0
761,MENTA GRANIZADA,crema blanca,helado,0.0,0.25,0.0
762,PANACOTTA,crema blanca,helado,0.0,1.5,0.0
775,PISTACHO,crema blanca,helado,0.0,0.0,0.0
763,SAMBAYON,crema blanca,helado,0.0,1.0,0.0
764,TIRAMISU,crema blanca,helado,0.0,2.25,0.0
766,TORTA BROWNIE,crema blanca,helado,0.0,0.5,0.0
776,YOGUR GRIEGO,crema blanca,helado,0.0,0.0,0.25
721,CREMA DON PEDRO,crema vainilla,helado,0.0,0.25,0.25
748,CREMA FLAN,crema vainilla,helado,0.0,0.5,0.5
754,KINOTOS AL WHISKY,crema vainilla,helado,0.0,0.25,0.25
768,VAINILLA,crema vainilla,helado,0.0,1.5,0.0
770,VAINILLA GRANIZADA,crema vainilla,helado,0.0,0.0,0.25
717,CHOCOTORTA,dulce de leche,helado,0.0,0.25,0.5
739,DOLCCINO,dulce de leche,helado,0.0,0.75,1.0
740,DULCE DE LECHE,dulce de leche,helado,1.0,2.0,2.0
741,DULCE DE LECHE BOMBON,dulce de leche,helado,0.0,1.25,1.0
742,DULCE DE LECHE CON NUEZ,dulce de leche,helado,0.0,0.5,1.0
743,DULCE DE LECHE GRANIZADO,dulce de leche,helado,0.0,1.0,1.0
744,DULCE DE LECHE TENTACION,dulce de leche,helado,0.0,1.0,1.0
705,ANANA,frutas,helado,0.0,0.25,0.5
746,DURAZNO AL AGUA,frutas,helado,0.0,0.25,0.0
750,FRUTILLA AL AGUA,frutas,helado,0.0,0.25,0.5
755,LIMON,frutas,helado,0.0,1.25,0.0
757,MANGO,frutas,helado,0.0,0.5,0.0
402,Cheescake DL/ Oreo,,minitortas,0.0,2.0,0.0
401,Dulccina,,minitortas,0.0,1.0,1.0
400,Nutella,,minitortas,0.0,2.0,0.0
506,Chancho,,paletas,0.0,2.0,3.0
500,Clasica,,paletas,0.0,5.0,0.0
502,Corazon,,paletas,0.0,1.0,0.0
507,Cristal,,paletas,0.0,0.0,2.0
511,Dona flan,,paletas,0.0,0.0,2.0
513,Dubai,,paletas,5.0,5.0,0.0
512,Hello Kitty,,paletas,0.0,3.0,2.0
504,Pata,,paletas,0.0,1.0,0.0
501,Tango,,paletas,0.0,3.0,0.0
509,Vaca Aurora,,paletas,0.0,2.0,3.0
508,chocolatin,,paletas,0.0,1.0,1.0
600,Brownie,,tartas,5.0,3.0,3.0
601,Cabsha,,tartas,8.0,0.0,0.0
608,Cheescake Tarta,,tartas,0.0,0.0,0.0
602,Higo,,tartas,16.0,0.0,5.0
603,Imperial Tarta,,tartas,4.0,0.0,4.0
604,Lemon Pie Tarta,,tartas,0.0,0.0,2.0
605,Maracuya Tarta,,tartas,2.0,0.0,0.0
606,Mousse,,tartas,7.0,0.0,2.0
607,Rocher,,tartas,9.0,0.0,0.0
900,Bomba,,tortas,0.0,0.0,1.0
901,Chaja,,tortas,0.0,0.0,0.0
902,Imperial,,tortas,0.0,0.0,1.0
903,Maria Luisa,,tortas,0.0,0.0,0.0
904,Selva Negra,,tortas,0.0,0.0,1.0
905,Tropical,,tortas,1.0,0.0,0.0
803,BOMBON,,tortas heladas,3.0,0.0,0.0
808,CHOCOOREO,,tortas heladas,3.0,0.0,0.0
801,CLASICA AM/CHOC,,tortas heladas,3.0,0.0,0.0
802,CLASICA VAI/ DL,,tortas heladas,2.0,0.0,0.0
805,DEL AMERICANA,,tortas heladas,3.0,0.0,0.0
806,DEL DULCE D LECHE,,tortas heladas,3.0,0.0,0.0
800,OMELETTE,,tortas heladas,3.0,0.0,0.0
804,PRIMAVERA,,tortas heladas,2.0,0.0,1.0
807,VERONA,,tortas heladas,3.0,0.0,0.0
