producto_id,producto,familia,categoria,pozo,salon,mandar
733,DIET AMERICANA,,diet,0.0,,0.0
734,DIET ANANA,,diet,0.0,,0.0
735,DIET BANANA,,diet,0.0,,0.0
736,DIET DULCE DE LECHE,,diet,0.0,,0.0
737,DIET DURAZNO,,diet,0.0,,0.0
738,DIET VAINILLA,,diet,0.0,,0.0
710,BOMBON ROCHER,chocolate,helado,1.0,0.25,1.0
723,CHOCOLATE,chocolate,helado,3.0,0.75,0.0
724,CHOCOLATE A LA CUBANA,chocolate,helado,0.25,0.25,0.0
725,CHOCOLATE AMARGO,chocolate,helado,0.0,0.0,2.0
726,CHOCOLATE BLANCO,chocolate,helado,0.0,0.25,0.5
727,CHOCOLATE CON ALMENDRAS,chocolate,helado,0.0,0.0,1.0
728,CHOCOLATE CON CEREZAS,chocolate,helado,0.0,-0.25,0.25
782,CHOCOLATE DUBAI,chocolate,helado,0.0,0.0,3.0
730,CHOCOLATE SUIZO,chocolate,helado,0.0,1.0,1.0
718,KINDOVO,chocolate,helado,0.0,0.0,0.5
729,MARROC,chocolate,helado,0.0,0.5,0.0
702,ALMENDRADO,crema blanca,helado,0.0,0.25,0.25
703,AMERICANA,crema blanca,helado,0.0,0.0,0.0
706,ARANDANO Y CASSIS,crema blanca,helado,1.0,1.0,0.0
707,BANANA SPLIT,crema blanca,helado,0.0,0.0,0.0
715,BANANINA,crema blanca,helado,0.0,0.25,0.0
708,BISCUIT,crema blanca,helado,0.0,1.0,1.0
712,CAYOTE CON NUEZ,crema blanca,helado,0.0,0.25,0.25
713,CEREZA,crema blanca,helado,1.0,0.0,0.0
716,COCOLECHE,crema blanca,helado,0.0,0.25,0.0
711,CREMA DE CAFE,crema blanca,helado,0.0,0.25,0.25
719,CREMA DE HIGO CON NUEZ,crema blanca,helado,0.0,0.25,0.25
720,CREMA DEL CIELO,crema blanca,helado,0.0,0.25,0.25
722,CREMA RUSA,crema blanca,helado,0.0,0.25,0.0
732,DELICIA TELLO,crema blanca,helado,0.0,0.0,1.0
749,FRUTILLA A LA CREMA,crema blanca,helado,0.0,0.0,1.0
752,FRUTOS DEL BOSQUE,crema blanca,helado,0.0,0.0,1.0
753,GRANIZADO,crema blanca,helado,0.0,0.0,1.0
772,LEMON PIE,crema blanca,helado,0.0,0.75,0.0
758,MANTECOL,crema blanca,helado,0.0,0.75,0.0
759,MANZANAS AL OPORTO,crema blanca,helado,0.0,0.5,0.0
773,MARACUYA,crema blanca,helado,0.0,0.25,0.5
761,MENTA GRANIZADA,crema blanca,helado,0.0,0.25,0.0
762,PANACOTTA,crema blanca,helado,0.0,0.0,1.0
775,PISTACHO,crema blanca,helado,0.5,0.5,0.0
763,SAMBAYON,crema blanca,helado,0.0,0.5,1.0
764,TIRAMISU,crema blanca,helado,0.0,0.25,2.25
766,TORTA BROWNIE,crema blanca,helado,0.0,0.75,0.0
776,YOGUR GRIEGO,crema blanca,helado,0.0,0.25,0.0
721,CREMA DON PEDRO,crema vainilla,helado,0.0,0.25,0.0
748,CREMA FLAN,crema vainilla,helado,0.0,0.5,0.5
754,KINOTOS AL WHISKY,crema vainilla,helado,0.0,0.5,0.0
768,VAINILLA,crema vainilla,helado,1.0,0.75,0.0
770,VAINILLA GRANIZADA,crema vainilla,helado,0.0,0.25,0.0
717,CHOCOTORTA,dulce de leche,helado,0.0,1.0,0.0
739,DOLCCINO,dulce de leche,helado,0.0,1.0,1.0
740,DULCE DE LECHE,dulce de leche,helado,2.0,0.0,1.0
741,DULCE DE LECHE BOMBON,dulce de leche,helado,0.0,0.0,0.0
742,DULCE DE LECHE CON NUEZ,dulce de leche,helado,0.0,0.75,1.0
743,DULCE DE LECHE GRANIZADO,dulce de leche,helado,0.0,0.5,2.0
744,DULCE DE LECHE TENTACION,dulce de leche,helado,0.0,0.0,0.0
705,ANANA,frutas,helado,0.0,0.5,0.0
746,DURAZNO AL AGUA,frutas,helado,0.0,0.25,0.0
750,FRUTILLA AL AGUA,frutas,helado,0.0,0.5,0.0
755,LIMON,frutas,helado,0.0,0.0,1.0
757,MANGO,frutas,helado,0.0,0.5,0.0
402,Cheescake DL/ Oreo,,minitortas,0.0,2.0,1.0
401,Dulccina,,minitortas,0.0,3.0,0.0
400,Nutella,,minitortas,0.0,2.0,1.0
503,Carita,,paletas,0.0,6.0,1.0
506,Chancho,,paletas,0.0,6.0,1.0
500,Clasica,,paletas,0.0,5.0,5.0
502,Corazon,,paletas,0.0,5.0,2.0
507,Cristal,,paletas,0.0,7.0,3.0
510,Dona Banana Split,,paletas,0.0,8.0,0.0
511,Dona flan,,paletas,0.0,6.0,1.0
513,Dubai,,paletas,5.0,10.0,2.0
512,Hello Kitty,,paletas,0.0,5.0,2.0
504,Pata,,paletas,0.0,1.0,6.0
501,Tango,,paletas,0.0,2.0,8.0
505,Torta,,paletas,0.0,7.0,0.0
509,Vaca Aurora,,paletas,0.0,5.0,2.0
508,chocolatin,,paletas,0.0,10.0,0.0
600,Brownie,,tartas,2.0,13.0,0.0
601,Cabsha,,tartas,2.0,8.0,0.0
608,Cheescake Tarta,,tartas,1.0,0.0,0.0
602,Higo,,tartas,2.0,12.0,3.0
603,Imperial Tarta,,tartas,3.0,5.0,2.0
604,Lemon Pie Tarta,,tartas,1.0,0.0,1.0
605,Maracuya Tarta,,tartas,2.0,0.0,0.0
606,Mousse,,tartas,2.0,6.0,2.0
607,Rocher,,tartas,2.0,5.0,3.0
900,Bomba,,tortas,1.0,0.0,0.0
901,Chaja,,tortas,1.0,0.0,0.0
902,Imperial,,tortas,0.0,0.0,1.0
903,Maria Luisa,,tortas,0.0,0.0,1.0
904,Selva Negra,,tortas,1.0,0.0,0.0
905,Tropical,,tortas,1.0,0.0,0.0
803,BOMBON,,tortas heladas,2.0,0.0,0.0
808,CHOCOOREO,,tortas heladas,1.0,1.0,0.0
801,CLASICA AM/CHOC,,tortas heladas,2.0,0.0,0.0
802,CLASICA VAI/ DL,,tortas heladas,2.0,0.0,0.0
805,DEL AMERICANA,,tortas heladas,1.0,0.0,1.0
806,DEL DULCE D LECHE,,tortas heladas,2.0,0.0,0.0
800,OMELETTE,,tortas heladas,2.0,1.0,1.0
804,PRIMAVERA,,tortas heladas,2.0,2.0,0.0
807,VERONA,,tortas heladas,1.0,0.0,1.0
