Sucursal: CATAMARCA,,,FECHA,08/09/25,,,,Encargado:,,,,,,,,,,,,,,,,,
,POZO,SALON,MANDAR,,HAY,,MANDAR,,HAY,MANDAR,,,,,,,,,,,,,,,
ALMENDRADO,,1/4,,Tacita diet:,,,,Moños por paquete,HAY,,,,,,,,,,,,,,,,
AMERICANA,,1 1/4,1,DIET Anana,4,,,Velas,HAY,,,,,,,,,,,,,,,,
ANANA,,1/2,,DIET Durazno,4,,,bandeja chica,1,,,,,,,,,,,,,,,,
ARANDANOS Y CASIS,1,1 1/4,,DIET Americana,4,,,Bandeja grande,1,,,,,,,,,,,,,,,,/
BANANA SPLIT,,1,1,DIET Banana,4,,,helafilm 1/4 kg,4,,,,,,,,,,,,,,,,
BANANINA,,1/4,,DIET Dulce de Leche,4,,,Helafim 1/2 kg,2,,,,,,,,,,,,,,,,
BOMBON ROCHER,1,1/2,1,DIET Vainilla,5,,,Helafim 1 kg,2,,,,,,,,,,,,,,,,
CAYOTE CON NUEZ,,1/4,,,,,,Cinta con logo Tello,4,,,,,,,,,,,,,,,,
CEREZA,1,1/2,1,Tortas Heladas:,ENTERA,PORCION,MANDAR,,,,,,,,,,,,,,,,,,
COCOLECHE,,1/4,,Omelette,4,,,Cajas:,,,,,,,,,,,,,,,,,
CREMA BISCUIT,,1 1/2,,Clasica am/choc,3,,,Tartas,60,30,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,1/4,,Clasica vai/ dl,4,,,Tortas Medianas,15,10,,,,,,,,,,,,,,,
CREMA DE HIGO C/NUEZ,,1/4,,Bombon ,4,,,Tortas Grandes,20,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,1/4,,Primavera,3,,1,Blondas,30,30,,,,,,,,,,,,,,,
CREMA DON PEDRO,,- 1/4,1/4,Del Americana,3,,1,,,,,,,,,,,,,,,,,,
CREMA FLAN,,1/2,1/2,Del Dulce d leche,4,,,Para Postre:,,,,,,,,,,,,,,,,,
CREMA RUSA,,1/4,,Verona,3,,,Mini Tarta Manzana,1,1,,,,,,,,,,,,,,,
CHOCOLATE,,1 1/2,,Chocooreo,4,,,Cookie Americana,3,,,,,,,,,,,,,,,,
CHOCOLATE a la CUBANA,,1/2,,,,,,Topping Arandanos ,1,,,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,1/2,1/2,Tortas:,,,,Plancha brownie,6,4,,,,,,,,,,,,,,,
CHOCOLATE BLANCO,,1/2,,Bomba,2,,1,Volcan,6,4,,,,,,,,,,,,,,,
CHOCOLATE C/ALMENDRA,,1,1,Chaja,1,,,Sopa inglesa,2,,,,,,,,,,,,,,,,
CHOCOLATE C/CEREZAS,,1/4,1/4,Imperial,0,,3,Hojaldre,6,4,,,,,,,,,,,,,,,
CHOCOLATE DUBAI,,1/4,1/2,Maria Luisa,2,,1,Pera disecada,5,,,,,,,,,,,,,,,,
CHOCOLATE SUIZO,1,1,,Selva Negra,0,,1,Manzana disecada,5,,,,,,,,,,,,,,,,
CHOCOTORTA,,1/2,,Tropical,2,,,,,,,,,,,,,,,,,,,,
DELICIA TELLO,,1 1/2,1,,,,,Trufa p/Fondeau,20,20,,,,,,,,,,,,,,,
DOLCCINO,,1 1/2,,Tartas:,,,,Chocolate para Fondeau,1,1,,,,,,,,,,,,,,,
DULCE DE LECHE,,1 1/2,,Brownie,12,,,crema de leche,0,1/4,,,,,,,,,,,,,,,
DULCE LECHE BOMBON,,2,,Cabsha,11,,,Dulce de leche familiar,1,1,,,,,,,,,,,,,,,
DULCE DE LECHE C/NUEZ,,1 1/2,,Higo,13,,8,Ensaladas fruta (lata),1,1,,,,,,,,,,,,,,,
DULCE LECHE GRANIZ.,1,1,,Imperial Tarta,9,,1,Peras (lata),1,1,,,,,,,,,,,,,,,
DULCE LECHE TENTAC.,1,1,,Lemon Pie Tarta,0,,2,Ganache blanca,1/4,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,1/4,,Maracuya Tarta,1,,1,alcohol liquido,1,,,,,,,,,,,,,,,,
FRUTILLA A LA CREMA,1,1/2,1,Mousse,8,,2,Alcohol en Gel,,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,,1/2,,Rocher,12,,,Cuchara media bola,,,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1 1/2,,Cheescake,1,,1,Espatula chata,,,,,,,,,,,,,,,,,
GRANIZADO,,1 1/2,,,,,,Cornet,,,,,,,,,,,,,,,,,
KINDOVO,,1/2,,Salsas:,,,,,,,,,,,,,,,,,,,,,
KINOTOS AL WHISKY,,1/4,,Caramelo,3,,,Rollos p/imp. fiscal,,,,,,,,,,,,,,,,,
LIMON,,2,,Chocolate,3,,,Rollo Posnet,,,,,,,,,,,,,,,,,
LEMON PIE,,- 1/4,1/2,Dulce de Leche,3,,,,,,,,,,,,,,,,,,,,
MANGO,,1/2,,Frutilla,3,,,Chocolates,,,,,,,,,,,,,,,,,
MANTECOL,,3/4,,Sirope p/ Affogato,1,,,Almendra baña x 100,12,,,,,,,,,,,,,,,,
MANZANAS AL OPORTO,,1/4,,,,,,Almendra baña x 250,17,,,,,,,,,,,,,,,,
MARACUYA,,1/2,,Agregados:,,,,Almendra confitada x100,,,,,,,,,,,,,,,,,
MARROC,,1/4,,Azucar,1,,,Almendra confitada x250,,,,,,,,,,,,,,,,,
MENTA GRANIZADA,,1/4,,Baño de choco,,,,,,,,,,,,,,,,,,,,,
PANACOTTA,,1 1/4,1,Logo Tello,10,,,Tabletas de chocolate,,,,,,,,,,,,,,,,,
PISTACCHIO,,0,X2,Cerezas (lata),1,,,Marroc,,,,,,,,,,,,,,,,,
SAMBAYON,,1/2,1,chispas de choco,1,,,Oreo,,,,,,,,,,,,,,,,,
TIRAMISU,,- 1/4,1/4,Kinotos (lata),1,,,Frutos secos,3,,,,,,,,,,,,,,,,
TORTA BROWNIE,,1/2,,Lajas,0,,1,Rocklets,,,,,,,,,,,,,,,,,
VAINILLA,,1,1,Merenguitos,2,,,Dubai,10,,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,1/4,,Nueces,1,,,,,,,,,,,,,,,,,,,,
YOGURT GRIEGO,,1/4,,Rocklets,0,,1,Caja Bom. Tello chic. (5 u),,,,,,,,,,,,,,,,,
ICE POP (PALETAS),,,,Pañuelos p/copas,1,,,Caja Bom. Tello Med (7 u),,,,,,,,,,,,,,,,,
Clasica,,8,2,Leche descremada,6,,4,Caja Bom.Tello Gde (12 u),,,,,,,,,,,,,,,,,
Tango,,9,1,Bombones p/ café,0,,50,,,,,,,,,,,,,,,,,,
Corazon,,6,,Chocolate p/ submarino,2,,3,Utiles,,,,,,,,,,,,,,,,,
Carita,,6,,,,,,Lapiceras,3,,,,,,,,,,,,,,,,
Pata,,2,4,BOLSAS,,,,Felpón,1,,,,,,,,,,,,,,,,
Torta,,6,,Bolsa consorcio,4,,1,Broches n°21/6,6,,,,,,,,,,,,,,,,
Chancho,,4,2,Bolsa residuos,4,,1,Liquido corrector,1,,,,,,,,,,,,,,,,
Cristal,,9,1,Bolsa camiseta,1,,,Remito devolución mercaderia,1,,,,,,,,,,,,,,,,
chocolatin,,10,,bolsa p/conito,2,,1,SOBRES,HAY,,,,,,,,,,,,,,,,
Vaca Aurora,,4,2,Bolsa chica c/logo (papel),300,,,Gomillas ,HAY,,,,,,,,,,,,,,,,
Dona Banana Split,,6,,Bolsa gde. c/logo (papel),300,,,Cinta transparente,6,,,,,,,,,,,,,,,,
Dona flan,,4,2,Bolsa gde. c/logo (plast. torta redonda),2,,,,,,,,,,,,,,,,,,,,
Hello Kitty,,4,2,Bolsa rectang. c/logo (plast. torta rectang.),2,,,,,,,,,,,,,,,,,,,,
Dubai,,8,2,Delivery (papel s/manija),100,,100,,,,,,,,,,,,,,,,,,
Caja para paleta,,HAY,HAY,,,,,,,,,,,,,,,,,,,,,,
Minitortas,,,,Guantes ,0,,3,,,,,,,,,,,,,,,,,,
Nutella,,5,,Portaconos,32,,,,,,,,,,,,,,,,,,,,
Dulccina,,4,1,Cucharita sundae,1,,1,,,,,,,,,,,,,,,,,,
Cheescake DL/ Oreo,,3,2,Folex,1,,,,,,,,,,,,,,,,,,,,
Cajas mini torta,,HAY,,Serivilleta blancas,1,,,,,,,,,,,,,,,,,,,,
Cuadrados:,,,,Servilleta Beige Tello ,1,,,,,,,,,,,,,,,,,,,,
Brownie,,5,2,Vaso c/ Logo 120 cc,2,,,,,,,,,,,,,,,,,,,,
Coco,,1,6,Vaso c/ Logo 360cc,2,,,,,,,,,,,,,,,,,,,,
Pastafrola,,6,1,Vaso plast.milk shake,32,,,,,,,,,,,,,,,,,,,,
Postre envasado:,,,,SORBETES,HAY,,,,,,,,,,,,,,,,,,,,
Tiramissu,,4,,,,,,,,,,,,,,,,,,,,,,,
brownie con frutos rojos,,2,2,,,,,,,,,,,,,,,,,,,,,,
"MANDAR 3 CAJAS DE CAFE, 5 EDULCORANTE Y 2 CAJAS DE AZUCAR",,,,,,,,,,,,,,,,,,,,,,,,,
