Sucursal: CATAMARCA,,,FECHA,10/09/25,,,,Encargado:,,,,,,,,,,,,,,,,,
,POZO,SALON,MANDAR,,HAY,,MANDAR,,HAY,MANDAR,,,,,,,,,,,,,,,
ALMENDRADO,,1/2-,,Tacita diet:,,,,Moños por paquete,HAY,,,,,,,,,,,,,,,,
AMERICANA,1,1 1/4,,Anana,4,,,Velas,,,,,,,,,,,,,,,,,
ANANA,,1,,Durazno,4,,,bandeja chica,HAY,,,,,,,,,,,,,,,,
ARANDANOS Y CASIS,1,1,,Americana,4,,,Bandeja grande,HAY,,,,,,,,,,,,,,,,/
BANANA SPLIT,1,1,,Banana,4,,,helafilm 1/4 kg,2,,,,,,,,,,,,,,,,
BANANINA,,1/4,1,Dulce de Leche,4,,,Helafim 1/2 kg,1,,,,,,,,,,,,,,,,
BOMBON ROCHER,1,1,,Vainilla,5,,,Helafim 1 kg,2,,,,,,,,,,,,,,,,
CAYOTE CON NUEZ,,1/4-,1,,,,,Cinta con logo Tello,,,,,,,,,,,,,,,,,
CEREZA,1,1 1/2,,Tortas Heladas:,ENTERA,PORCION,MANDAR,,,,,,,,,,,,,,,,,,
COCOLECHE,,1,1,Omelette,4,,,Cajas:,,,,,,,,,,,,,,,,,
CREMA BISCUIT,,1 1/2,,Clasica am/choc,2,,1,Tartas,50,50,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,1,,Clasica vai/ dl,4,,,Tortas Medianas,HAY,,,,,,,,,,,,,,,,
CREMA DE HIGO C/NUEZ,,1,1,Bombon ,4,,,Tortas Grandes,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,1,,Primavera,4,,,Blondas,50,50,,,,,,,,,,,,,,,
CREMA DON PEDRO,,1/2,,Del Americana,3,,,,,,,,,,,,,,,,,,,,
CREMA FLAN,,2,,Del Dulce d leche,4,,,Para Postre:,,,,,,,,,,,,,,,,,
CREMA RUSA,,1,,Verona,3,,,Mini Tarta Manzana,2,1,,,,,,,,,,,,,,,
CHOCOLATE,,1,,Chocooreo,4,,,Cookie Americana,0,2,,,,,,,,,,,,,,,
CHOCOLATE a la CUBANA,,2,,,,,,Topping Arandanos ,HAY,,,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,2,,Tortas:,,,,Plancha brownie,8,,,,,,,,,,,,,,,,
CHOCOLATE BLANCO,,2,,Bomba,2,,,Volcan,15,,,,,,,,,,,,,,,,
CHOCOLATE C/ALMENDRA,1,1 1/2,,Chaja,0,,,Sopa inglesa,2,,,,,,,,,,,,,,,,
CHOCOLATE C/CEREZAS,,2,,Imperial,0,,2,Hojaldre,HAY,,,,,,,,,,,,,,,,
CHOCOLATE DUBAI,,1/4,2,Maria Luisa,1,,1,Pera disecada,HAY,,,,,,,,,,,,,,,,
CHOCOLATE SUIZO,1,2,,Selva Negra,0,,1,Manzana disecada,0,1,,,,,,,,,,,,,,,
CHOCOTORTA,,1,1,Tropical,0,,1,,,,,,,,,,,,,,,,,,
DELICIA TELLO,1,1,,,,,,Trufa p/Fondeau,HAY,,,,,,,,,,,,,,,,
DOLCCINO,,1 1/2,,Tartas:,,,,Chocolate para Fondeau,HAY,,,,,,,,,,,,,,,,
DULCE DE LECHE,,1 1/4,,Brownie,8,,4,crema de leche,HAY,,,,,,,,,,,,,,,,
DULCE LECHE BOMBON,,1 1/2,,Cabsha,10,,2,Dulce de leche familiar,2,,,,,,,,,,,,,,,,
DULCE DE LECHE C/NUEZ,,1 1/2,,Higo,12,,12,Ensaladas fruta (lata),2,,,,,,,,,,,,,,,,
DULCE LECHE GRANIZ.,,1 1/2,,Imperial,6,,6,Peras (lata),2,,,,,,,,,,,,,,,,
DULCE LECHE TENTAC.,,2,,Lemon Pie,2,,,Ganache blanca,HAY,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,1,,Maracuya,1,,1,alcohol liquido,,,,,,,,,,,,,,,,,
FRUTILLA A LA CREMA,1,1 1/2,,Mousse,7,,5,Alcohol en Gel,,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,,1,,Rocher,6,,6,Cuchara media bola,,,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1 1/4,,Cheescake,0,,2,Espatula chata,,,,,,,,,,,,,,,,,
GRANIZADO,,1 1/2,,,,,,Cornet,,,,,,,,,,,,,,,,,
KINDOVO,,1,,Salsas:,,,,,,,,,,,,,,,,,,,,,
KINOTOS AL WHISKY,,1,,Caramelo,3,,,Rollos p/imp. fiscal,,,,,,,,,,,,,,,,,
LIMON,,2,,Chocolate,2,,,Rollo Posnet,,,,,,,,,,,,,,,,,
LEMON PIE,,1,,Dulce de Leche,3,,,,,,,,,,,,,,,,,,,,
MANGO,,1,,Frutilla,3,,,Chocolates,,,,,,,,,,,,,,,,,
MANTECOL,,1/2+,,Sirope p/ Affogato,HAY,,,Almendra baña x 100,,,,,,,,,,,,,,,,,
MANZANAS AL OPORTO,,1,1,,,,,Almendra baña x 250,,,,,,,,,,,,,,,,,
MARACUYA,,1/2,1,Agregados:,,,,Almendra confitada x100,,,,,,,,,,,,,,,,,
MARROC,,1,,Azucar,0,,1,Almendra confitada x250,,,,,,,,,,,,,,,,,
MENTA GRANIZADA,,0,1,Baño de choco,HAY,,,,,,,,,,,,,,,,,,,,
PANACOTTA,1,1,,Logo Tello,HAY,,,Tabletas de chocolate,,,,,,,,,,,,,,,,,
PISTACCHIO,,1/2+,,Cerezas (lata),0,,1,Marroc,,,,,,,,,,,,,,,,,
SAMBAYON,,2,,chispas de choco,HAY,,,Oreo,,,,,,,,,,,,,,,,,
TIRAMISU,,1,1,Kinotos (lata),HAY,,,Frutos secos,,,,,,,,,,,,,,,,,
