Sucursal Monteagudo,,,,8/9/2025,,,,,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
,,,,,,,,Moños por paquete,HAY,,,,,,,,,,,,,,,,
ALMENDRADO,,-1/2,,Tacita diet:,,,,Velas,HAY,,,,,,,,,,,,,,,,
AMERICANA,,1/4+1,,DIET Anana,0,,3,Bandeja chica,HAY,,,,,,,,,,,,,,,,
ANANA,,1/2,,DIET Durazno,0,,3,Bandeja grande,HAY,,,,,,,,,,,,,,,,
ARANDANOS Y CASSIS,1,1,,DIET Americana,3,,,Helafim 1/4 kg,2,,,,,,,,,,,,,,,,
BANANA SPLIT,1,1/2,,DIET Banana,3,,,Helafim 1/2 kg,2,,,,,,,,,,,,,,,, /
BANANINA,,-1/4,1,DIET Dulce de Leche,1,,2,Helafim 1 kg,2,,,,,,,,,,,,,,,,/
BOMBON ROCHER,1,1/4,1,DIET Vainilla,2,,1,Cinta con Logo Tello,5,,,,,,,,,,,,,,,,/
CAYOTE CON NUEZ,,-1/2,1,,,,,,,,,,,,,,,,,,,,,,
CEREZA,1,1+1/4,,Tortas Heladas:,Entera,Porcion,MANDAR,Cajas:,,,,,,,,,,,,,,,,, 
COCOLECHE,,-1/2,,Omelette,3,,,Tartas,73,20,,,,,,,,,,,,,,,
CREMA BISCUIT,,1/4+1,,Clasica Am/ Choc.,3,,,Tortas Medianas,38,,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,-1/4+1/4,,Clasica Vai/ DL,2,,1,Tortas Grandes,11,,,,,,,,,,,,,,,,/
CREMA DE HIGO C/NUEZ,,-1/4,1,Bombon,3,,,Blondas,,MANDAR,,,,,,,,,,,,,,,
CREMA DEL CIELO,,1/4,1,Primavera,2,,1,,,,,,,,,,,,,,,,,,/
CREMA DON PEDRO,,1/2,,Del. De Amer.,3,,,Para Postre :,,,,,,,,,,,,,,,,,
CREMA FLAN,,1/2,1,Del. De D. de L,3,,,Mini Tarta Manzana,3,,,,,,,,,,,,,,,,
CREMA RUSA,,-1/4+1/4,,Verona,3,,,Cookie Americana,4,,,,,,,,,,,,,, ,,
CHOCOLATE,1,1,,Chocooreo,2,,1,Topping Arandanos ,HAY,,,,,,,,,,,,,, ,,/
CHOCOLATE A LA CUBANA,,-1/4+1/4,,,,,,Plancha brownie,9,1,,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,-1/2+1/2,,Tortas:,,,,Volcan,6,,,,,,,,,,,,,,,,
CHOCOLATE BLANCO,,1/2+1/4,,Bomba,1,,,Sopa inglesa,1,,,,,,,,,,,,,,,,
CHOCOLATE CON ALM.,,1+3/4,,Chaja,0,,,Hojaldre,HAY,,,,,,,,,,,,,,,,
CHOCOLATE C/CEREZAS,,-1/4+1/4,,Imperial,0,,1,Pera disecada,HAY,,,,,,,,,,,,,,,,/
CHOCOLATE DUBAI,,-1/2,2,Maria Luisa,0,,1,Manzana disecada,HAY,,,,,,,,,,,,,,,,
CHOCOLATE SUIZO,,1+3/4,,Selva Negra,1,,,,,,,,,,,,,,,,,,,,
CHOCOTORTA,,-2,,Tropical,0,,1,Crema de leche,-1/4,1,,,,,,,,,,,,,,, 
DELICIA TELLO,1,3/4,, ,,,,Dulce de leche familiar,2,,,,,,,,,,,,,,,, 
DOLCCINO,,1+1/2,,Tartas:,,,,Ensaladas fruta (lata),2,,,,,,,,,,,,,,,,
DULCE DE LECHE,,1,1,Brownie,11,,2,Peras (lata),1,,,,,,,,,,,,,,,, 
DULCE DE LECHE BOMBON,1,3/4,,Cabsha,8,,5,Ganache blanca,1/4,,,,,,,,,,,,,,,,
DULCE DE LECHE C/NUEZ,1,1+3/4,,higo,12,,8,Alcohol liquido,HAY,,,,,,,,,,,,,,,,
DULCE DE LECHE GRANI.,,1+1/2,1,Imperial Tarta,10,,3,Alcohol en Gel,,,,,,,,,,,,,,,,, /
DULCE DE LECHE TENTAC.,1,1/2,,Lemon Pie Tarta,1,,1,Cuchara media bola,,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,-1/4,,Maracuya Tarta,2,,,Espatula chata,,MANDAR,,,,,,,,,,,,,,,/
FRUTILLA A LA CREMA,1,1/2,1,Mousse,11,,2,Cornet,,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,1,-1/4+1/2,,Rocher,7,,6,,,,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1+3/4,,Cheescake,0,,1,Rollos p/imp. fiscal,HAY,,,,,,,,,,,,,,,,
GRANIZADO,,1+3/4,,,,,,Rollos p/posnet,HAY,,,,,,,,,,,,,,,,
KINDOVO,,1/4,1,Salsas:,HAY,,MANDAR,,,,,,,,,,,,,,,,,, 
KINOTOS AL WHISKY,,-1/2,,Caramelo,2,,,Chocolates,,,,,,,,,,,,,,,,, 
LIMON,1,3/4,,Chocolate,2,,,Almendra baña x 100,4,,,,,,,,,,,,,,,,
LEMON PIE,,1/2+1/4,1,Dulce de Leche,2,,,Almendra baña x 250,3,1,,,,,,,,,,,,,,,//
MANGO,,1/2,1,Frutilla,2,,,Almendra confitada x100,,,,,,,,,,,,,,,,,
MANTECOL,,1/2,1,Sirope p/ Affogato,HAY,,,Almendra confitada x250,,,,,,,,,,,,,,,,, 
MANZANAS AL OPORTO,,-1/4,1,,,,,,,,,,,,,,,,,,,,,,
MARACUYA,,1/2,1,Agregados:,,,,Tabletas de chocolate,9,1,,,,,,,,,,,,,,,
MARROC,,-1/4+1/4,1,Azucar,1/4,,,Marroc,,,,,,,,,,,,,,,,,
MENTA GRANIZADA,,1/4,1,Baño de choco,1,,,Oreo,,,,,,,,,,,,,,,,,
PANACOTTA,1,1/2,,Logo Tello,HAY,,,Frutos secos,,,,,,,,,,,,,,,,,/
PISTACCHIO,,1/4+1/2,,Cerezas (lata),HAY,,,Rocklets,,,,,,,,,,,,,,,,, 
SAMBAYON,,1+1/4,,Chispas de Choco,1,,,Dubai,8,2,,,,,,,,,,,,,,,/
TIRAMISU,,1/4,1,Kinotos (lata),1,,,,,,,,,,,,,,,,,,,,
TORTA BROWNIE,,1/4+1/2,,Lajas,HAY,,,Utiles,,,,,,,,,,,,,,,/,, 
VAINILLA,1,1+1/4,,Merenguitos,2,,,Lapiceras,,,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,-1/2,,Nueces,,,MANDAR,Felpón,,,,,,,,,,,,,,,/,,
YOGURT GRIEGO,,1/2,,Rocklets,,,MANDAR,Broches n°21/6,,,,,,,,,,,,,,,,,
ICE POP (PALETAS),,,,Pañuelos p/copas,HAY,,,Liquido corrector,,,,,,,,,,,,,,,,,
Clasica,,8,2,Leche descremada,10,,,Remito devolución mercaderia,,,,,,,,,,,,,,,,,/
Tango ,,10,,Bombones p/ café,0,,MANDAR,Sobres,,MANDAR,,,,,,,,,,,,,,,
Corazon ,,4,2,Choc. para submarino,9,,,Gomillas,,,,,,,,,,,,,,,,,
Carita,,5,1, ,,,,Cinta transparente,4,,,,,,,,,,,,,,,,
Pata,,5,1,Bolsas:,,,,,,,,,,,,,,,,,,,,,
Torta,,6,,Bolsa consorcio,5,,,,,,,,,,,,,,,,,,,,
Chancho,,3,3,Bolsa residuos,5,,,,,,,,,,,,,,,,,,,,
Cristal ,,10,,Bolsa camiseta,HAY,,,,,,,,,,,,,,,,,,,,
