Suc 24 de Septiembre,,,,14/9/2025,,,,Encargado:,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,,,,,,,,,,,,,,,,,
,,,,Tacita diet:,,,,Guantes , ,MANDAR,,,,,,,,,,,,,,,
ALMENDRADO,,0,1/4,Anana,1,,,Portaconos,HAY,,,,,,,,,,,,,,,,
AMERICANA,,1/2,1,Durazno,1,,,Cucharita sundae,0,1,,,,,,,,,,,,,,, /
ANANA,,1/4,1/2,Americana,,,1,Folex,HAY,,,,,,,,,,,,,,,,
ARANDANOS Y CASSIS,,1,1,Banana, ,,1,Servilleta Blancas,,MANDAR,,,,,,,,,,,,,,,
BANANA SPLIT,,1/2,1,Dulce de Leche,,,1,Servilleta Beige Tello,,,,,,,,,,,,,,,,,
BANANINA,,- 1/4,1/4,Vainilla,1,,,Vaso c/ Logo 120 cc,0,2,,,,,,,,,,,,,,,
BOMBON ROCHER,,1 1/4,1,, ,,,Vaso c/ Logo 360cc,1,1,,,,,,,,,,,,,,,
CAYOTE CON NUEZ,,-1/4,1/4,Tortas Heladas:,Entera,Porcion,Mandar,Vaso plast.milk shake,8, ,,,,,,,,,,,,,,,
CEREZA,,1,1,Omelette,3,,,Sorbetes,HAY, ,,,,,,,,,,,,,,,
COCOLECHE,,1/4,1/4,Clasica am/choc,3,,,Moños por paquete,HAY,,,,,,,,,,,,,,,,
CREMA BISCUIT,,2,,Clasica vai/ dl,2,,,Velas,HAY,,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,1/4,,Bombon ,3, ,,Bandeja chica,HAY,,,,,,,,,,,,,,,,
CREMA DE HIGO CON NUEZ,,0,1/4,Primavera,2,,1,Bandeja grande,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,0,1/4,Del Americana,3,,,Helafim 1/4 kg,4,,,,,,,,,,,,,,,,
CREMA DON PEDRO,,1/4,1/4,Del Dulce d leche,3,,,Helafim 1/2 kg,2,,,,,,,,,,,,,,,,
CREMA FLAN,,1/2,1/2,Verona,3,,,Helafim 1 kg,2,,,,,,,,,,,,,,,,
CREMA RUSA,,0,1/4,Chocooreo,3, ,,Cinta con Logo Tello,3,,,,,,,,,,,,,,,,
CHOCOLATE,,1/2,1,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE A LA CUBANA,,1/4,1/4,Tortas:,,,,Cajas:, , , ,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,1/4,1/2,Bomba,, ,1,Tartas,60,10,, , ,,,,,,,,,,,,
CHOCOLATE BLANCO,,1/4,1/2,Chaja,,,,Tortas Medianas,11,, , ,,,,,,,,,,,,,
CHOCOLATE CON ALM.,,1 1/2,1,Imperial,,,1,Tortas Grandes,11, , ,,,,,,,,,,,,,,
CHOCOLATE CON CEREZAS,,-1/4,1/4,Maria Luisa,,,,Blondas,,MANDAR, ,,,,,,,,,,,,,,
CHOCOLATE DUBAI,,0,X2,SELVA NEGRA,,,1,,,, ,,,,,,,,,,,,,,
CHOCOLATE SUIZO,,1 1/4,1,Tropical,1,,,Para Postre:,,,,,,,,,,,,,,,,, 
CHOCOTORTA,,1/4,1/2,,,,,Mini Tarta Manzana,2,,,,,,,,,,,,,,,,
DELICIA TELLO,,1 1/4,1,Tartas:,,,,Cookie Americana,1,,,,,,,,,,,,,,,,
DOLCCINO,,3/4,1,Brownie,5,,3,Topping Arandanos ,HAY,,,,,,,,,,,,,,,,
