Sucursal: YERBA BUENA,,,Fecha:,08/09/2025,,,, Encargado: JUANI, ,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
ALMENDRADO,,-1/4,1/4,TACITAS DIET:,,,,Bolsas:, , ,,,,,,,,,,,,,,,
AMERICANA,,1,1,DIET Anana,3,,,Bolsa consorcio,3,,,,,,,,,,,,,,,,
ANANA,,1/2,,DIET Durazno,2,,1,Bolsa residuos,4,,,,,,,,,,,,,,,, /
ARANDANOS Y CASSIS,,1+1/2,,DIET Americana,3,,,Bolsa camiseta,HAY, ,,,,,,,,,,,,,,,
BANANA SPLIT,,2,,DIET Banana,2,,1,Bolsa p/conito,5,,,,,,,,,,,,,,,,
BANANINA,,1/4,,DIET Dulce de Leche,3,,,Bolsa chica c/logo (papel),5,,,,,,,,,,,,,,,,
BOMBON ROCHER,,1,1,DIET Vainilla,3,,,Bolsa gde. c/logo (papel),1, ,,,,,,,,,,,,,,, 
CAYOTE CON NUEZ,,1/2,,, ,,,Bolsa gde. c/logo (plast. torta redonda),3, ,,,,,,,,,,,,,,,
CEREZA,,1+1/2,,Tortas Heladas:,VITRINA,POZO,MANDAR,Bolsa rectang. c/logo (plast. torta rectang.),2, ,,,,,,,,,,,,,,,/
COCOLECHE,,1/4,,Omelette,4,,,Delivery (papel s/manija),HAY,,,,,,,,,,,,,,,,
CREMA BISCUIT,,1+1/2,,Clasica Am/ Choc.,1,,1,, , ,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,1/4,,Clasica Vai/ DL,1,,1,Guantes,0,3,,,,,,,,,,,,,,,
CREMA DE HIGO CON NUEZ,,1/4,,Bombon,1,,1,Portaconos,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,1/4,,Primavera,2,3,,Cucharita sundae,2+1/4,,,,,,,,,,,,,,,,
CREMA DON PEDRO,,1/4,,Del. De Amer.,2,1,,Folex,HAY,  ,,,,,,,,,,,,,,,
CREMA FLAN,,1/2,,Del. De D. de L,2,,,Servilleta Blancas,HAY,,,,,,,,,,,,,,,,
CREMA RUSA,,1/2,,Verona,2,,,Servilleta Beige Tello,HAY,,,,,,,,,,,,,,,,
