Sucursal: YERBA BUENA,,,Fecha:,14/09/2025,,,, Encargado: , ,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
ALMENDRADO,,1/2,,TACITAS DIET:,,,,Bolsas:, , ,,,,,,,,,,,,,,,
AMERICANA,,1,1,Anana,2,,1,Bolsa consorcio,2,1,,,,,,,,,,,,,,,
ANANA,,1/2,,Durazno,3,,,Bolsa residuos,3,,,,,,,,,,,,,,,, /
ARANDANOS Y CASSIS,,1+1/2,1,Americana,3,,,Bolsa camiseta,HAY, ,,,,,,,,,,,,,,,
BANANA SPLIT,1,1/2,1,Banana,3,,,Bolsa p/conito,6,,,,,,,,,,,,,,,,
BANANINA,,-1/4,1/4,Dulce de Leche,3,,,Bolsa chica c/logo (papel),3,,,,,,,,,,,,,,,,
BOMBON ROCHER,1,1,1,Vainilla,3,,,Bolsa gde. c/logo (papel),1, ,,,,,,,,,,,,,,, 
CAYOTE CON NUEZ,,-1/4,1/4,, ,,,Bolsa gde. c/logo (plast. torta redonda),3, ,,,,,,,,,,,,,,,
CEREZA,1,1/2,1,Tortas Heladas:,VITRINA,POZO,MANDAR,Bolsa rectang. c/logo (plast. torta rectang.),2, ,,,,,,,,,,,,,,,/
COCOLECHE,,1/2,,Omelette,2,2,,Delivery (papel s/manija),HAY,,,,,,,,,,,,,,,,
CREMA BISCUIT,1,3/4,,Clasica Am/ Choc.,2,,,, , ,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,-1/4,1/4,Clasica Vai/ DL,2,,,Guantes,2,3,,,,,,,,,,,,,,,
CREMA DE HIGO CON NUEZ,,1/2,,Bombon,2,,,Portaconos,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,-1/4,1/4,Primavera,0,2,2,Cucharita sundae,1+1/2,,,,,,,,,,,,,,,,
CREMA DON PEDRO,,1/4,,Del. De Amer.,2,,,Folex,HAY,  ,,,,,,,,,,,,,,,
CREMA FLAN,,1/2,1/2,Del. De D. de L,2,,,Servilleta Blancas,1,,,,,,,,,,,,,,,,
CREMA RUSA,,1/2,,Verona,2,,,Servilleta Beige Tello,,MANDAR,,,,,,,,,,,,,,,
CHOCOLATE,,1+1/4,1,Chocooreo,1,,1,Vaso c/ Logo 120 cc,2,,,,,,,,,,,,,,,,
CHOCOLATE A LA CUBANA,1/4,0,1/4,,,,,Vaso c/ Logo 360cc,0,2,,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,3/4,,Tortas:,,,,Vaso plast. milk shake,HAY,   ,,,,,,,,,,,,,,,
CHOCOLATE BLANCO,,-1/4,1/2,Bomba,1,,,Sorbetes,HAY,,,,,,,,,,,,,,,,
CHOCOLATE CON ALM.,,1,1,Chaja,0,,1,Moños x paquete,HAY, ,,,,,,,,,,,,,,,
CHOCOLATE CON CEREZAS,,-1/4,1/2,Imperial,0,,1,Velas,HAY,,,,,,,,,,,,,,,,
CHOCOLATE DUBAI,,0,3,Maria luisa,0,,1,Bandeja chica,HAY,,,,,,,,,,,,,,,,/
CHOCOLATE SUIZO,,1,1,Selva negra,1,,,Bandeja grande,HAY, ,,,,,,,,,,,,,,,
CHOCOTORTA,,1,1/2,Tropical,2,,,Helafiilm 1/4 kg,2, ,,,,,,,,,,,,,,,
DELICIA TELLO,,1,1,,,,,Helafilm 1/2 kg,2,  ,,,,,,,,,,,,,,,
DOLCCINO,,1,1,Tartas:,,,,Helafilm 1kg,2, ,,,,,,,,,,,,,,,
DULCE DE LECHE,,1+1/2,1,Brownie,10,,2,Cinta con Logo Tello,3,1,,,,,,,,,,,,,,,/
DULCE DE LECHE BOMBON,,1,1,Cabsha,9,,1,, , ,,,,,,,,,,,,,,,
DULCE DE LECHE C/NUEZ,,1+1/2,,Higo,12,,8,Cajas:, , ,,,,,,,,,,,,,,,
DULCE DE LECHE GRA.,,1+1/2,1,Imperial,10,,,Tartas,60,20,,,,,,,,,,,,,,, 
DULCE DE LECHE TENTAC.,,1,1,Lemon Pie,0,,2,Tortas Medianas,25,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,1/4,,Maracuya,1,,1,Tortas Grandes,25,,,,,,,,,,,,,,,,
FRUTILLA A LA CREMA,,1,1,Mousse,9,,1,Blondas,HAY,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,,1/4,1/2,Rocher,7,,5,,, ,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1/2,1,Cheescake,1,,,Para Postre:, ,  ,,,,,,,,,,,,,,,
GRANIZADO,,1+1/2,,,,,,Mini tarta manzana,3,,,,,,,,,,,,,,,,
KINDOVO,,1/4,1/2,Salsas:,,,,Cookie Americana,3, ,,,,,,,,,,,,,,,
KINOTOS AL WHISKY,,1/4,1/4,Caramelo,1,,1,Topping Arandanos,HAY,,,,,,,,,,,,,,,,
LIMON,,1+3/4,,Chocolate,1,,1,Plancha brownie,HAY,,,,,,,,,,,,,,,,
LEMON PIE,,1/4,1/2,Dulce de Leche,1,,1,Volcan,10,,,,,,,,,,,,,,,,
MANGO,,1/2,,Frutilla,1,,1,sopa inglesa,2,,,,,,,,,,,,,,,,
MANTECOL,,3/4,1/2,Sirope para Affogato,HAY,, ,Hojaldre,HAY,,,,,,,,,,,,,,,,
MANZANAS AL OPORTO,,1/2,,,,,,Pera disecada,HAY, ,,,,,,,,,,,,,,,
MARACUYA,,3/4,,Agregados:,,,,Manzana disecada,HAY, ,,,,,,,,,,,,,,,  
MARROC,,1/2,1/4,Azucar,HAY,,,, , ,,,,,,,,,,,,,,,/
MENTA GRANIZADA,1/4,-1/4,,Baño de chocolate,1,,,Crema de leche,1/4,1/4,,,,,,,,,,,,,,,
PANACOTTA,,1,1,Logo Tello,HAY,,,Dulce de leche familiar,2,,,,,,,,,,,,,,,,
PISTACCHIO,,-1/4,3,Cerezas (lata),1,,,Ensaladas fruta (lata),2,,,,,,,,,,,,,,,,
SAMBAYON,,1+1/4,,Chispas de Choc.,HAY,,,Peras (lata),2,,,,,,,,,,,,,,,,
TIRAMISU,,-1/4,1/4,Kinotos (lata),,,MANDAR,Ganache blanca,1/4,,,,,,,,,,,,,,,, 
TORTA BROWNIE,,3/4,,Lajas,,,MANDAR,Alcohol Liquido,1,,,,,,,,,,,,,,,,
VAINILLA,,1,1,Merenguitos,5,,,Alcohol en Gel,, ,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,1/2,,Nueces,,,MANDAR,Cuchara media bola,, ,,,,,,,,,,,,,,,
